"","input.rate","converted.rate","volumetric","mass.specific","input.o2.unit","input.time.unit","output.unit","vial","B.TAG","Day","Sym.state","Bacteria"
"1","-0.401370995153566","-0.945331274772401","-1.79612942206756","-0.0130154305946925","%","min","umol/min/g","A2","G24","15","sym","EC"
"2","-0.430046132172157","-1.01286855115603","-1.92445024719645","-0.0101822764401929","%","min","umol/min/g","A3","G26","15","sym","EC"
"3","-0.059523387260714","-0.140192789806382","-0.266366300632125","-0.00761046573234643","%","min","umol/min/g","A4","B13","15","sym","EC"
"4","-0.316489035348449","-0.745412565556629","-1.34174261800193","-0.00559059424167472","%","min","umol/min/g","A5","B15","15","sym","EC"
"5","-0.265210143050643","-0.624637668490997","-1.18681157013289","-0.00760776647521086","%","min","umol/min/g","A6","W21","15","sym","EC"
"6","-0.165097765430571","-0.388847432776858","-0.738810122276031","-0.00376943939936751","%","min","umol/min/g","B3","Y17","15","sym","EC"
"7","-0.741214571993629","-1.7457497544249","-3.31692453340732","-0.0218218719303113","%","min","umol/min/g","C2","G60","15","apo","EC"
"8","-0.112387251448378","-0.264700700754952","-0.502931331434409","-0.00314332082146505","%","min","umol/min/g","C3","G64","15","apo","EC"
"9","-0.269256231158846","-0.634167240072784","-1.20491775613829","-0.00803278504092193","%","min","umol/min/g","C4","B63","15","apo","EC"
"10","-0.316566979480598","-0.745596143908566","-1.34207305903542","-0.00498911917857033","%","min","umol/min/g","C5","B65","15","apo","EC"
"11","-0.300256079308582","-0.707179805312902","-1.34364163009451","-0.0122149239099501","%","min","umol/min/g","C6","B70","15","apo","EC"
"12","-0.145743884346538","-0.343264096417531","-0.652201783193308","-0.00316602807375392","%","min","umol/min/g","D2","W59","15","apo","EC"
"13","-0.145743884346538","-0.343264096417531","-0.617875373551555","-0.00211601155325875","%","min","umol/min/g","D3","W62","15","apo","EC"
"14","-0.348560992208062","-0.82095022081481","-1.55980541954814","-0.0107572787555044","%","min","umol/min/g","D4","Y59","15","apo","EC"
